bucket,txn_count,max_spike_score
2026-08-10 00:00:00,7,2000000.0
2026-08-10 00:15:00,7,7.732657654153061
2026-08-10 00:45:00,7,0.0
2026-08-10 01:00:00,3,4.113711778861475
2026-08-10 01:15:00,5,1.4611938145181904
2026-08-10 01:30:00,7,1.8900886441329101
2026-08-10 01:45:00,5,1.726758225710454
2026-08-10 02:00:00,12,2000000.0
2026-08-10 02:15:00,15,5.667918200841333
2026-08-10 02:30:00,8,5.68819837826438
2026-08-10 02:45:00,7,8.567754937370067
2026-08-10 03:00:00,5,5.957190899458981
2026-08-10 03:15:00,6,7.9489147968151075
2026-08-10 03:30:00,8,3.949654840576153
2026-08-10 03:45:00,2,0.794135120418196
2026-08-10 04:00:00,6,13.723643613362253
2026-08-10 04:15:00,10,0.8940813569809969
2026-08-10 04:30:00,3,1.4123679762521029
2026-08-10 04:45:00,4,0.0
2026-08-10 05:00:00,10,4000000.0
2026-08-10 05:15:00,17,12.247628949716512
2026-08-10 05:30:00,8,0.2843715603112649
2026-08-10 05:45:00,6,0.19996925110160513
2026-08-10 06:00:00,32,3000000.0
2026-08-10 06:15:00,53,58.250023928267325
2026-08-10 06:30:00,18,4.465133385217129
2026-08-10 06:45:00,19,1.6699591226714547
2026-08-10 07:00:00,39,1000000.0
2026-08-10 07:15:00,34,23.80148419366503
2026-08-10 07:30:00,20,8.99636953614686
2026-08-10 07:45:00,27,3.6368611714487975
2026-08-10 08:00:00,58,5000000.0
2026-08-10 08:15:00,65,1000000.0
2026-08-10 08:30:00,42,24.809816264416074
2026-08-10 08:45:00,36,11.812767724368891
2026-08-10 09:00:00,105,25.436811218303763
2026-08-10 09:15:00,98,20.79002533143614
2026-08-10 09:30:00,96,10.776959856655306
2026-08-10 09:45:00,44,18.53013567325809
2026-08-10 10:00:00,70,3000000.0
2026-08-10 10:15:00,63,2000000.0
2026-08-10 10:30:00,41,5.491828833913153
2026-08-10 10:45:00,43,8.004026995877842
2026-08-10 11:00:00,56,3000000.0
2026-08-10 11:15:00,67,5000000.0
2026-08-10 11:30:00,39,8.756420582179274
2026-08-10 11:45:00,43,1000000.0
2026-08-10 12:00:00,56,2000000.0
2026-08-10 12:15:00,47,20.952748488952924
2026-08-10 12:30:00,43,2.176431337939674
2026-08-10 12:45:00,50,15.33990516613634
2026-08-10 13:00:00,67,1000000.0
2026-08-10 13:15:00,48,8.296070823535997
2026-08-10 13:30:00,45,1000000.0
2026-08-10 13:45:00,36,6.587650624896805
2026-08-10 14:00:00,63,3000000.0
2026-08-10 14:15:00,62,1000000.0
2026-08-10 14:30:00,41,33.7667600146572
2026-08-10 14:45:00,29,11.687103105395366
2026-08-10 15:00:00,69,5000000.0
2026-08-10 15:15:00,55,1000000.0
2026-08-10 15:30:00,54,8.630896240486658
2026-08-10 15:45:00,41,1000000.0
2026-08-10 16:00:00,50,5000000.0
2026-08-10 16:15:00,36,28.5513282637117
2026-08-10 16:30:00,42,8.958119052489598
2026-08-10 16:45:00,49,8.492350346247234
2026-08-10 17:00:00,70,4000000.0
2026-08-10 17:15:00,79,4000000.0
2026-08-10 17:30:00,42,1.3276680580900242
2026-08-10 17:45:00,38,15.504555866147525
2026-08-10 18:00:00,63,4000000.0
2026-08-10 18:15:00,49,8.801950931579189
2026-08-10 18:30:00,47,1000000.0
2026-08-10 18:45:00,22,1.7376267593529677
2026-08-10 19:00:00,60,6000000.0
2026-08-10 19:15:00,61,1000000.0
